seq,operation,phase,frame,channel,address_offset,write_value,read_mask,expected_value,comparison,EQ,timeout_us,register,description
130,WRITE,rx_pop,1,CH2,0x29C,0x00000001,,,,0,,ENG1_RXPOP_CH2,Pop frame 1 channel 2 into shared RX staging
131,READ_CHECK,rx_read,1,CH2,0x2A0,,0xFFFFFFFF,0x00000003,masked_eq,1,,ENG1_RXDATA0,Check frame 1 channel 2 word 0
132,READ_CHECK,rx_read,1,CH2,0x2A4,,0xFFFFFFFF,0x00000000,masked_eq,1,,ENG1_RXDATA1,Check frame 1 channel 2 word 1
133,READ_CHECK,rx_read,1,CH2,0x2A8,,0xFFFFFFFF,0x00000000,masked_eq,1,,ENG1_RXDATA2,Check frame 1 channel 2 word 2
134,READ_CHECK,rx_read,1,CH2,0x2AC,,0xFFFFFFFF,0x00000000,masked_eq,1,,ENG1_RXDATA3,Check frame 1 channel 2 word 3
135,POLL,rx_wait,2,,0x28C,,0x0000F000,0x00000000,masked_ne,0,100,ENG1_RX_FIFO_STAT,Wait until FRAMES[15:12] is nonzero
136,WRITE,rx_pop,2,CH0,0x294,0x00000001,,,,0,,ENG1_RXPOP_CH0,Pop frame 2 channel 0 into shared RX staging
137,READ_CHECK,rx_read,2,CH0,0x2A0,,0xFFFFFFFF,0x00000001,masked_eq,1,,ENG1_RXDATA0,Check frame 2 channel 0 word 0
138,READ_CHECK,rx_read,2,CH0,0x2A4,,0xFFFFFFFF,0x00000000,masked_eq,1,,ENG1_RXDATA1,Check frame 2 channel 0 word 1
139,READ_CHECK,rx_read,2,CH0,0x2A8,,0xFFFFFFFF,0x00000000,masked_eq,1,,ENG1_RXDATA2,Check frame 2 channel 0 word 2
140,READ_CHECK,rx_read,2,CH0,0x2AC,,0xFFFFFFFF,0x00000000,masked_eq,1,,ENG1_RXDATA3,Check frame 2 channel 0 word 3
141,WRITE,rx_pop,2,CH1,0x298,0x00000001,,,,0,,ENG1_RXPOP_CH1,Pop frame 2 channel 1 into shared RX staging
